num,id,name,year,rank,average,bayes_average,users_rated,url,thumbnail
263,48726,Alien Frontiers,2010,264,7.4,7.184,14492,/boardgame/48726/alien-frontiers,https://cf.geekdo-images.com/UWZTWLXFfg_6HpXJmviL3g__micro/img/QSCc2y-vxXf0s2zAdKL9L9TaTLY=/fit-in/64x64/filters:strip_icc()/pic3360924.png
98,225694,Decrypto,2018,99,7.79,7.516,14481,/boardgame/225694/decrypto,https://cf.geekdo-images.com/hHZWXnUTMYDd_KTAM6Jwlw__micro/img/g7DQGNNf6ZFwYDGpe9kT3e4KELY=/fit-in/64x64/filters:strip_icc()/pic3759421.jpg
2674,1917,Stratego,1946,2675,6.1,5.974,14473,/boardgame/1917/stratego,https://cf.geekdo-images.com/O3JZyf9nB_2tGl4jpj8SPw__micro/img/6qiKGVHS46DBbIi39MY_zUPeFRc=/fit-in/64x64/filters:strip_icc()/pic25644.jpg
1641,811,Rummikub,1977,1642,6.4,6.24,14449,/boardgame/811/rummikub,https://cf.geekdo-images.com/LeaLDlTTmeN639MfuflcMw__micro/img/fsJobXzJjYhs2Xm27chyaiQMH2Q=/fit-in/64x64/filters:strip_icc()/pic2286966.jpg
290,59959,Letters from Whitechapel,2011,291,7.38,7.141,14403,/boardgame/59959/letters-whitechapel,https://cf.geekdo-images.com/H3G1t-oIjN9gEVVI21FoVg__micro/img/cujH9iiRm7desoZnWmXzjATLAOA=/fit-in/64x64/filters:strip_icc()/pic1545654.jpg
1181,63268,Spot it!,2009,1182,6.61,6.438,14329,/boardgame/63268/spot-it,https://cf.geekdo-images.com/4HTvfjwyEuydX6fDTYviWg__micro/img/lxBCJPYvZfU99Nw2AX-sjTmqNU4=/fit-in/64x64/filters:strip_icc()/pic3550651.jpg
477,156009,Port Royal,2014,478,7.13,6.93,14321,/boardgame/156009/port-royal,https://cf.geekdo-images.com/9lQIIxg_l6G-ZWmTqEHlOA__micro/img/5YB-aPjdT8ppVLiGAcBLQUfouu8=/fit-in/64x64/filters:strip_icc()/pic1949286.jpg
822,27588,Zooloretto,2007,823,6.83,6.658,14271,/boardgame/27588/zooloretto,https://cf.geekdo-images.com/FF_R0HV6APUKh0IW2w6oqw__micro/img/DSX3dt4AktNsOotiU6orBQau22g=/fit-in/64x64/filters:strip_icc()/pic2021685.png
245,286096,Tapestry,2019,246,7.46,7.204,14243,/boardgame/286096/tapestry,https://cf.geekdo-images.com/7kqDmkUMGxXHr1wNPA7Gvg__micro/img/3YMCw53b6I0NHJF6dwpOFOc6K2s=/fit-in/64x64/filters:strip_icc()/pic4884996.jpg
1888,12692,Gloom,2005,1889,6.33,6.166,14232,/boardgame/12692/gloom,https://cf.geekdo-images.com/jD7_Ir8gL_9AXC-wjnqjHg__micro/img/nZ-rpfOOh1Gkd_JLKAR5UV6fIEY=/fit-in/64x64/filters:strip_icc()/pic2080481.jpg
276,46213,Telestrations,2009,277,7.4,7.165,14111,/boardgame/46213/telestrations,https://cf.geekdo-images.com/oc3u6OQpJkf9TvDw4iI9xA__micro/img/_jLHA9bOGNzdZeUrYCfgUHHZbVA=/fit-in/64x64/filters:strip_icc()/pic4991936.jpg
